ymd,high,low,tianqi,fengxiang,fengli,aqi,aqiInfo,aqiLevel
2021-01-01,1,-11,晴,东北风,1级,54,良,2
2021-01-02,0,-9,晴~多云,东北风,1级,78,良,2
2021-01-03,-1,-8,多云,东北风,1级,31,优,1
2021-01-04,0,-11,多云~晴,西北风,3级,36,优,1
2021-01-05,-2,-11,晴,西北风,2级,32,优,1
2021-01-06,0,-19,多云~晴,西北风,4级,64,良,2
2021-01-07,-7,-14,晴,西北风,3级,34,优,1
2021-01-08,-2,-10,晴,西北风,3级,31,优,1
2021-01-09,1,-8,晴,西北风,2级,41,优,1
2021-01-10,1,-7,多云,西北风,2级,26,优,1
2021-01-11,2,-8,多云,西北风,2级,57,良,2
2021-01-12,4,-6,晴~多云,北风,1级,99,良,2
2021-01-13,8,-6,晴~多云,北风,2级,177,中度污染,4
2021-01-14,2,-4,阴~多云,东北风,2级,81,良,2
2021-01-15,3,-8,晴,北风,3级,75,良,2
2021-01-16,0,-8,晴,西北风,3级,30,优,1
2021-01-17,3,-7,晴,西风,2级,49,优,1
2021-01-18,4,-6,晴~阴,东北风,2级,63,良,2
2021-01-19,-3,-8,阴~多云,东北风,2级,48,优,1
2021-01-20,1,-5,晴~多云,西北风,1级,71,良,2
2021-01-21,5,-5,阴~晴,西北风,1级,109,轻度污染,3
2021-01-22,5,-7,晴~多云,东北风,1级,114,轻度污染,3
2021-01-23,3,-6,多云,西南风,1级,103,轻度污染,3
2021-01-24,5,-5,晴~多云,东北风,1级,139,轻度污染,3
2021-01-25,1,-6,雨夹雪~雾,西风,1级,176,中度污染,4
2021-01-26,6,-7,阴~多云,西北风,2级,117,轻度污染,3
2021-01-27,3,-6,阴~多云,北风,2级,63,良,2
2021-01-28,-1,-9,晴,西北风,微风,49,优,1
2021-01-29,0,-8,晴,东北风,1级,52,良,2
2021-01-30,7,-7,晴,东南风,1级,68,良,2
2021-01-31,0,-5,多云~晴,东北风,1级,90,良,2
2021-02-01,2,-10,晴,西北风,3级,51,良,2
2021-02-02,0,-8,晴~多云,西北风,2级,35,优,1
2021-02-03,7,-6,多云~晴,西北风,微风,50,优,1
2021-02-04,10,-5,晴~多云,西南风,微风,59,良,2
2021-02-05,15,-2,晴,西北风,1级,70,良,2
2021-02-06,16,-3,晴~多云,西北风,2级,81,良,2
2021-02-07,7,-5,晴,北风,2级,47,优,1
2021-02-08,7,-5,多云,东南风,1级,45,优,1
2021-02-09,10,-3,晴,北风,1级,88,良,2
2021-02-10,15,-3,晴,北风,1级,110,轻度污染,3
2021-02-11,11,-1,多云~晴,北风,1级,220,重度污染,5
2021-02-12,14,-1,多云,东北风,微风,255,重度污染,5
2021-02-13,7,2,雾~小雨,东北风,1级,264,重度污染,5
2021-02-14,4,-5,雨夹雪~多云,东北风,2级,135,轻度污染,3
2021-02-15,5,-4,晴~多云,西风,3级,31,优,1
2021-02-16,0,-7,晴,西北风,4级,37,优,1
2021-02-17,3,-7,晴,西北风,3级,24,优,1
2021-02-18,7,-5,晴,东北风,1级,40,优,1
2021-02-19,16,-2,多云,西北风,1级,63,良,2
2021-02-20,20,3,阴~多云,西北风,1级,73,良,2
2021-02-21,25,4,阴~晴,西北风,2级,114,轻度污染,3
2021-02-22,12,0,多云,东北风,3级,61,良,2
2021-02-23,3,-3,阴,东南风,2级,46,优,1
2021-02-24,5,-3,阴~多云,东南风,1级,62,良,2
2021-02-25,8,-3,阴~晴,东北风,1级,107,轻度污染,3
2021-02-26,11,-3,多云~晴,南风,1级,171,中度污染,4
2021-02-27,11,1,多云~雨夹雪,南风,2级,143,轻度污染,3
2021-02-28,5,0,小雨~雨夹雪,东北风,2级,128,轻度污染,3
2021-03-01,5,-6,小雪~多云,南风,2级,34,优,1
2021-03-02,4,-2,多云,南风,微风,83,良,2
2021-03-03,6,2,多云~阴,东北风,1级,153,中度污染,4
2021-03-04,11,2,阴~多云,东北风,1级,198,中度污染,4
2021-03-05,9,-2,雾~多云,东南风,2级,169,中度污染,4
2021-03-06,4,-5,阴~晴,南风,2级,49,优,1
2021-03-07,8,-2,多云,西南风,微风,76,良,2
2021-03-08,10,1,多云,西南风,1级,109,轻度污染,3
2021-03-09,15,3,多云,北风,1级,182,中度污染,4
2021-03-10,16,8,雾,西南风,2级,248,重度污染,5
2021-03-11,17,7,阴,南风,2级,143,轻度污染,3
2021-03-12,10,6,小雨~雾,东南风,2级,138,轻度污染,3
2021-03-13,14,8,多云,东南风,1级,152,中度污染,4
2021-03-14,13,9,阴,南风,2级,178,中度污染,4
2021-03-15,12,2,扬沙~浮尘,西北风,3级,347,严重污染,6
2021-03-16,15,3,浮尘,北风,2级,172,中度污染,4
2021-03-17,13,6,小雨,东南风,2级,195,中度污染,4
2021-03-18,8,3,阴~多云,东南风,2级,98,良,2
2021-03-19,10,5,阴~小雨,西南风,2级,94,良,2
2021-03-20,13,3,浮尘~晴,西北风,3级,83,良,2
2021-03-21,12,1,晴,西北风,3级,29,优,1
2021-03-22,19,5,晴,西南风,2级,122,轻度污染,3
2021-03-23,23,8,晴,西南风,微风,90,良,2
2021-03-24,21,6,阴~晴,东北风,2级,103,轻度污染,3
2021-03-25,21,11,多云,西南风,2级,81,良,2
2021-03-26,14,10,小雨~雾,东南风,1级,168,中度污染,4
2021-03-27,18,10,雾~浮尘,南风,2级,181,中度污染,4
2021-03-28,18,8,扬沙~晴,西北风,4级,282,重度污染,5
2021-03-29,19,6,多云~晴,西北风,2级,91,良,2
2021-03-30,21,9,多云~晴,西南风,2级,144,轻度污染,3
2021-03-31,24,10,多云,东北风,2级,126,轻度污染,3
2021-04-01,18,12,阴,东南风,2级,118,轻度污染,3
2021-04-02,16,10,阴~小雨,东南风,微风,56,良,2
2021-04-03,18,7,晴,东北风,3级,42,优,1
2021-04-04,19,7,晴~多云,西南风,2级,30,优,1
2021-04-05,18,8,阴~多云,西南风,微风,60,良,2
2021-04-06,21,10,多云,西南风,2级,57,良,2
2021-04-07,19,5,晴,东南风,微风,74,良,2
2021-04-08,19,8,晴~多云,东南风,2级,62,良,2
2021-04-09,18,6,多云,东南风,2级,67,良,2
2021-04-10,20,12,阴~多云,南风,2级,90,良,2
2021-04-11,20,9,阴,南风,3级,79,良,2
2021-04-12,16,8,多云,西北风,3级,82,良,2
2021-04-13,16,5,晴,西北风,3级,27,优,1
2021-04-14,22,10,晴~多云,西南风,2级,69,良,2
2021-04-15,21,8,扬沙,西风,3级,168,中度污染,4
2021-04-16,17,9,多云~晴,西北风,3级,119,轻度污染,3
2021-04-17,20,5,晴,西北风,3级,33,优,1
2021-04-18,25,10,晴,西南风,2级,63,良,2
2021-04-19,27,15,晴~多云,西南风,2级,100,良,2
2021-04-20,26,13,阴~多云,南风,2级,96,良,2
2021-04-21,21,12,阴~小雨,南风,3级,67,良,2
2021-04-22,16,9,小雨~多云,东南风,2级,56,良,2
